FileName,DeveloperId,DeveloperName,ProjectId,ChangeType
InputMeta.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
MetaBrush.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
MetaDo.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
MetaFont.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
MetaObject.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
MetaPen.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
MetaState.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfCollection.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfCollectionField.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfCollectionItem.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfCollectionSchema.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfCollectionSort.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfTargetDictionary.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
AESCipher.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
ARCFOUREncryption.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
IVGenerator.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
DottedLineSeparator.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
DrawInterface.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
LineSeparator.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
VerticalPositionMark.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
FieldPositioningEvents.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
IndexEvents.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfPCellEventForwarder.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfPTableEventForwarder.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfPageEventForwarder.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
FontsResourceAnchor.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
CMap.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
CMapParser.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
CodespaceRange.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
ByteVector.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
CharVector.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
Hyphen.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
Hyphenation.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
HyphenationException.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
HyphenationTree.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
Hyphenator.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PatternConsumer.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
SimplePatternParser.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
TernaryTree.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfAnnotations.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfDocumentActions.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfEncryptionSettings.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfPageActions.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfRunDirection.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfVersion.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfViewerPreferences.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfXConformance.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfAnnotationsImp.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
